Domain,AIN,Type,Town,State,Alex confirmed?,Unnamed: 6,found_about,folder_loc_about,found_faq,folder_loc_faq,found_contact,folder_loc_contact,found,folder_loc
chemeketa.edu,Chemekta Community College,Higher Education,Salem,OR,,,True,./pages/chemeketa.edu/about_page.txt,False,,True,./pages/chemeketa.edu/contact_page.txt,True,./pages/chemeketa.edu/main_page.txt
k12espanola.org,EspaÃ±ola Public Schools,Schools,EspaÃ±ola,NM,,,True,./pages/k12espanola.org/about_page.txt,False,,True,./pages/k12espanola.org/contact_page.txt,True,./pages/k12espanola.org/main_page.txt
lascumbres-nm.org,Las Cumbres Community Services,Community Services,EspaÃ±ola,NM,,,True,./pages/lascumbres-nm.org/about_page.txt,False,,True,./pages/lascumbres-nm.org/contact_page.txt,True,./pages/lascumbres-nm.org/main_page.txt
missionwestcdp.org,Mission West Community Development Partners (redirects from lakecountycdc.org),Community Services,Ronan,MT,,,True,./pages/missionwestcdp.org/about_page.txt,True,./pages/missionwestcdp.org/faq_page.txt,True,./pages/missionwestcdp.org/contact_page.txt,True,./pages/missionwestcdp.org/main_page.txt
mcsd10.org,Maine Consolidated School,Schools,Parks,AZ,,,True,./pages/mcsd10.org/about_page.txt,False,,False,,True,./pages/mcsd10.org/main_page.txt
newmexicoconsortium.org,The New Mexico Consortium (higher ed),Higher Education,Los Alamos,NM,,,True,./pages/newmexicoconsortium.org/about_page.txt,False,,True,./pages/newmexicoconsortium.org/contact_page.txt,True,./pages/newmexicoconsortium.org/main_page.txt
riversideca.gov,City of Riverside,Government,Riverside,CA,,,True,./pages/riversideca.gov/about_page.txt,False,,True,./pages/riversideca.gov/contact_page.txt,True,./pages/riversideca.gov/main_page.txt
cityofstjoseph.com,City of St. Joseph,Government,St. Joseph,MN,,,False,,False,,True,./pages/cityofstjoseph.com/contact_page.txt,True,./pages/cityofstjoseph.com/main_page.txt
define.com,None,,,,,,False,,False,,False,,True,./pages/define.com/main_page.txt
askcmp.com,None,,,,,,True,./pages/askcmp.com/about_page.txt,False,,True,./pages/askcmp.com/contact_page.txt,True,./pages/askcmp.com/main_page.txt
backyardenvironments.com,None,,,,,,False,,False,,False,,True,./pages/backyardenvironments.com/main_page.txt
skipro.com,None,,,,,,True,./pages/skipro.com/about_page.txt,False,,True,./pages/skipro.com/contact_page.txt,True,./pages/skipro.com/main_page.txt
capitalelec.com,Capital Electric Cooperative,Public Utilities and Energy,Bismarck,ND,,,True,./pages/capitalelec.com/about_page.txt,True,./pages/capitalelec.com/faq_page.txt,False,,True,./pages/capitalelec.com/main_page.txt
seabear.com,None,,,,,,True,./pages/seabear.com/about_page.txt,True,./pages/seabear.com/faq_page.txt,True,./pages/seabear.com/contact_page.txt,True,./pages/seabear.com/main_page.txt
highpointnetworks.com,None,,,,,,True,./pages/highpointnetworks.com/about_page.txt,False,,True,./pages/highpointnetworks.com/contact_page.txt,True,./pages/highpointnetworks.com/main_page.txt
checklistaz.com,None,,,,,,True,./pages/checklistaz.com/about_page.txt,True,./pages/checklistaz.com/faq_page.txt,True,./pages/checklistaz.com/contact_page.txt,True,./pages/checklistaz.com/main_page.txt
undertone.org,None,,,,,,False,,False,,False,,True,./pages/undertone.org/main_page.txt
yavapaihumane.org,Yavapai Humane Society,Veterinarians,Prescott,AZ,,,False,,False,,True,./pages/yavapaihumane.org/contact_page.txt,True,./pages/yavapaihumane.org/main_page.txt
ndgga.com,North Dakota Grain Growers Association,Sectoral Association,West Fargo,ND,,,True,./pages/ndgga.com/about_page.txt,False,,True,./pages/ndgga.com/contact_page.txt,True,./pages/ndgga.com/main_page.txt
fhgc.com,None,,,,,,True,./pages/fhgc.com/about_page.txt,True,./pages/fhgc.com/faq_page.txt,True,./pages/fhgc.com/contact_page.txt,True,./pages/fhgc.com/main_page.txt
lakebutlerhospital.com,Lake Butler Hospital,Healthcare,Lake Butler,FL,,,False,,False,,True,./pages/lakebutlerhospital.com/contact_page.txt,True,./pages/lakebutlerhospital.com/main_page.txt
nothingbutnet.com,None,,,,,,True,./pages/nothingbutnet.com/about_page.txt,False,,True,./pages/nothingbutnet.com/contact_page.txt,True,./pages/nothingbutnet.com/main_page.txt
nacog.org,Northern Arizona Council of Governments,Government,Flagstaff,AZ,,,True,./pages/nacog.org/about_page.txt,False,,True,./pages/nacog.org/contact_page.txt,True,./pages/nacog.org/main_page.txt
camelbackwealth.com,None,,,,,,False,,False,,True,./pages/camelbackwealth.com/contact_page.txt,True,./pages/camelbackwealth.com/main_page.txt
archdiosf.org,Archdiocese of Santa Fe,Religious Organizations,Santa Fe,NM,,,True,./pages/archdiosf.org/about_page.txt,True,./pages/archdiosf.org/faq_page.txt,False,,True,./pages/archdiosf.org/main_page.txt
accessmontana.com,Access Montana,Regional ISP,Ronan,MT,,,True,./pages/accessmontana.com/about_page.txt,True,./pages/accessmontana.com/faq_page.txt,True,./pages/accessmontana.com/contact_page.txt,True,./pages/accessmontana.com/main_page.txt
californiatelecom.com,None,,,,,,True,./pages/californiatelecom.com/about_page.txt,False,,True,./pages/californiatelecom.com/contact_page.txt,True,./pages/californiatelecom.com/main_page.txt
completemarkets.com,None,,,,,,True,./pages/completemarkets.com/about_page.txt,True,./pages/completemarkets.com/faq_page.txt,True,./pages/completemarkets.com/contact_page.txt,True,./pages/completemarkets.com/main_page.txt
block-lite.com,None,,,,,,True,./pages/block-lite.com/about_page.txt,False,,True,./pages/block-lite.com/contact_page.txt,True,./pages/block-lite.com/main_page.txt
chemeketa.edu,Chemeketa Community College,Higher Education,Salem,OR,,,True,./pages/chemeketa.edu/about_page.txt,False,,True,./pages/chemeketa.edu/contact_page.txt,True,./pages/chemeketa.edu/main_page.txt
plexustechnology.com,None,,,,,,True,./pages/plexustechnology.com/about_page.txt,False,,True,./pages/plexustechnology.com/contact_page.txt,True,./pages/plexustechnology.com/main_page.txt
saultcareercentre.ca,None,,,,,,True,./pages/saultcareercentre.ca/about_page.txt,False,,True,./pages/saultcareercentre.ca/contact_page.txt,True,./pages/saultcareercentre.ca/main_page.txt
infinitysol.com,None,,,,,,True,./pages/infinitysol.com/about_page.txt,False,,True,./pages/infinitysol.com/contact_page.txt,True,./pages/infinitysol.com/main_page.txt
mybillingtree.com,None,,,,,,True,./pages/mybillingtree.com/about_page.txt,False,,True,./pages/mybillingtree.com/contact_page.txt,True,./pages/mybillingtree.com/main_page.txt
classicaccessories.com,None,,,,,,False,,False,,False,,False,
azraft.com,None,,,,,,True,./pages/azraft.com/about_page.txt,True,./pages/azraft.com/faq_page.txt,True,./pages/azraft.com/contact_page.txt,True,./pages/azraft.com/main_page.txt
gfrl.org,None,,,,,,True,./pages/gfrl.org/about_page.txt,False,,False,,True,./pages/gfrl.org/main_page.txt
somosguanacos.com,None,,,,,,False,,False,,False,,True,./pages/somosguanacos.com/main_page.txt
exoticsracing.com,None,,,,,,True,./pages/exoticsracing.com/about_page.txt,True,./pages/exoticsracing.com/faq_page.txt,True,./pages/exoticsracing.com/contact_page.txt,True,./pages/exoticsracing.com/main_page.txt
starionbank.com,Starion Bank,Finance and Insurance,[multiple],ND; WI,,,True,./pages/starionbank.com/about_page.txt,True,./pages/starionbank.com/faq_page.txt,True,./pages/starionbank.com/contact_page.txt,True,./pages/starionbank.com/main_page.txt
skinewmexico.com,None,,,,,,True,./pages/skinewmexico.com/about_page.txt,False,,True,./pages/skinewmexico.com/contact_page.txt,True,./pages/skinewmexico.com/main_page.txt
hoyrecovery.org,HOY Recovery,Healthcare,Velarde,NM,,,True,./pages/hoyrecovery.org/about_page.txt,False,,True,./pages/hoyrecovery.org/contact_page.txt,True,./pages/hoyrecovery.org/main_page.txt
weatherfordhotel.com,None,,,,,,True,./pages/weatherfordhotel.com/about_page.txt,False,,True,./pages/weatherfordhotel.com/contact_page.txt,True,./pages/weatherfordhotel.com/main_page.txt
nau.edu,Northern Arizona University,Higher Education,Flagstaff,AZ,,,True,./pages/nau.edu/about_page.txt,False,,False,,True,./pages/nau.edu/main_page.txt
azmusicpro.com,None,,,,,,False,,True,./pages/azmusicpro.com/faq_page.txt,False,./pages/azmusicpro.com/contact_page.txt,True,./pages/azmusicpro.com/main_page.txt
rfcontracting.com,None,,,,,,False,,False,,True,./pages/rfcontracting.com/contact_page.txt,True,./pages/rfcontracting.com/main_page.txt
wealthpoint.net,None,,,,,,False,,False,,True,./pages/wealthpoint.net/contact_page.txt,True,./pages/wealthpoint.net/main_page.txt
transcityins.com,None,,,,,,False,,False,,False,,True,./pages/transcityins.com/main_page.txt
desupply.com,None,,,,,,True,./pages/desupply.com/about_page.txt,False,,True,./pages/desupply.com/contact_page.txt,True,./pages/desupply.com/main_page.txt
taoscounty.org,Taos County,Government,Taos,NM,,,False,,True,./pages/taoscounty.org/faq_page.txt,True,./pages/taoscounty.org/contact_page.txt,True,./pages/taoscounty.org/main_page.txt
hotspringsmt.net,None,,,,,,False,,False,,False,,False,
fibermarketing.com,None,,,,,,True,./pages/fibermarketing.com/about_page.txt,False,,True,./pages/fibermarketing.com/contact_page.txt,True,./pages/fibermarketing.com/main_page.txt
taosgov.com,Town of Taos,Government,Taos,NM,,,False,,False,,True,./pages/taosgov.com/contact_page.txt,True,./pages/taosgov.com/main_page.txt
hotelandaluz.com,None,,,,,,False,,False,,False,,True,./pages/hotelandaluz.com/main_page.txt
pegasusts.com,None,,,,,,True,./pages/pegasusts.com/about_page.txt,False,,True,./pages/pegasusts.com/contact_page.txt,True,./pages/pegasusts.com/main_page.txt
hirlinger.com,None,,,,,,True,./pages/hirlinger.com/about_page.txt,False,,True,./pages/hirlinger.com/contact_page.txt,True,./pages/hirlinger.com/main_page.txt
nnogc.com,Navajo Nation Oil and Gas Company,Public Utilities and Energy,St. Michaels,AZ,,,False,,False,,False,,True,./pages/nnogc.com/main_page.txt
whitehallmgt.com,None,,,,,,True,./pages/whitehallmgt.com/about_page.txt,False,,True,./pages/whitehallmgt.com/contact_page.txt,True,./pages/whitehallmgt.com/main_page.txt
mrcog-nm.gov,Mid-Region Council of Governments,Government,Albuquerque,NM,,,True,./pages/mrcog-nm.gov/about_page.txt,False,,True,./pages/mrcog-nm.gov/contact_page.txt,True,./pages/mrcog-nm.gov/main_page.txt
gcyouth.org,Grand Canyon Youth,Community Services,Flagstaff,NM,,,True,./pages/gcyouth.org/about_page.txt,False,,True,./pages/gcyouth.org/contact_page.txt,True,./pages/gcyouth.org/main_page.txt
smgaz.org,Roman Catholic Church,Religious Organizations,Scottsdale,AZ,,,False,,False,,True,./pages/smgaz.org/contact_page.txt,True,./pages/smgaz.org/main_page.txt
forethought.net,FORETHOUGHT.net,Regional ISP,Denver,CO,,,False,,False,,False,,True,./pages/forethought.net/main_page.txt
finkens.com,None,,,,,,True,./pages/finkens.com/about_page.txt,False,,True,./pages/finkens.com/contact_page.txt,True,./pages/finkens.com/main_page.txt
lawrenceartscenter.org,Lawrence Arts Center,Community Services,Lawrence,KS,,,True,./pages/lawrenceartscenter.org/about_page.txt,False,,False,,True,./pages/lawrenceartscenter.org/main_page.txt
northlandprep.org,Northland Preparatory Academy,Schools,Flagstaff,AZ,,,True,./pages/northlandprep.org/about_page.txt,True,./pages/northlandprep.org/faq_page.txt,True,./pages/northlandprep.org/contact_page.txt,True,./pages/northlandprep.org/main_page.txt
bellarri.com,None,,,,,,True,./pages/bellarri.com/about_page.txt,False,,True,./pages/bellarri.com/contact_page.txt,True,./pages/bellarri.com/main_page.txt
prattdaystratton.com,None,,,,,,False,,False,,True,./pages/prattdaystratton.com/contact_page.txt,True,./pages/prattdaystratton.com/main_page.txt
curraninc.com,None,,,,,,True,./pages/curraninc.com/about_page.txt,False,,True,./pages/curraninc.com/contact_page.txt,True,./pages/curraninc.com/main_page.txt
jnlegal.com,None,,,,,,False,,False,,False,,True,./pages/jnlegal.com/main_page.txt
nationalgroup.ca,None,,,,,,False,,False,,False,,False,
phxarch.com,None,,,,,,True,./pages/phxarch.com/about_page.txt,False,,True,./pages/phxarch.com/contact_page.txt,True,./pages/phxarch.com/main_page.txt
pojoaque.org,Pueblo of Pojoaque,Government,Santa Fe,NM,,,False,,False,,True,./pages/pojoaque.org/contact_page.txt,True,./pages/pojoaque.org/main_page.txt
hipereon.com,None,,,,,,True,./pages/hipereon.com/about_page.txt,False,,True,./pages/hipereon.com/contact_page.txt,True,./pages/hipereon.com/main_page.txt
fortscott.edu,Fort Scott Community College,Higher Education,Fort Scott,KS,,,True,./pages/fortscott.edu/about_page.txt,False,,False,,True,./pages/fortscott.edu/main_page.txt
mtco-ops.com,Montana Electric Cooperatives' Association,Public Utilities and Energy,Great Falls,MT,,,True,./pages/mtco-ops.com/about_page.txt,False,,True,./pages/mtco-ops.com/contact_page.txt,True,./pages/mtco-ops.com/main_page.txt
mrspokane.com,None,,,,,,True,./pages/mrspokane.com/about_page.txt,False,,True,./pages/mrspokane.com/contact_page.txt,True,./pages/mrspokane.com/main_page.txt
cokerpalmer.com,None,,,,,,True,./pages/cokerpalmer.com/about_page.txt,False,,True,./pages/cokerpalmer.com/contact_page.txt,True,./pages/cokerpalmer.com/main_page.txt
mvpeds.com,Mountain View Pediatrics,Healthcare,Flagstaff,AZ,,,False,,False,,True,./pages/mvpeds.com/contact_page.txt,True,./pages/mvpeds.com/main_page.txt
ndarec.com,The North Dakota Association of Rural Electric Cooperatives (NDAREC),Public Utilities and Energy,Mandan,ND,,,False,,False,,True,./pages/ndarec.com/contact_page.txt,True,./pages/ndarec.com/main_page.txt
soofoundry.ca,None,,,,,,True,./pages/soofoundry.ca/about_page.txt,False,,True,./pages/soofoundry.ca/contact_page.txt,True,./pages/soofoundry.ca/main_page.txt
rcc.edu,Riverside City College,Higher Education,Riverside,CA,,,True,./pages/rcc.edu/about_page.txt,False,,False,,True,./pages/rcc.edu/main_page.txt
rayusd.org,Ray Unified School District,Schools,Kearny,AZ,,,False,,False,,True,./pages/rayusd.org/contact_page.txt,True,./pages/rayusd.org/main_page.txt
midco.com,None,,,,,,True,./pages/midco.com/about_page.txt,False,,True,./pages/midco.com/contact_page.txt,True,./pages/midco.com/main_page.txt
pointcpa.com,None,,,,,,True,./pages/pointcpa.com/about_page.txt,True,./pages/pointcpa.com/faq_page.txt,True,./pages/pointcpa.com/contact_page.txt,True,./pages/pointcpa.com/main_page.txt
sunflowerpaving.com,None,,,,,,True,./pages/sunflowerpaving.com/about_page.txt,False,,True,./pages/sunflowerpaving.com/contact_page.txt,True,./pages/sunflowerpaving.com/main_page.txt
814solutions.com,None,,,,,,False,,False,,True,./pages/814solutions.com/contact_page.txt,True,./pages/814solutions.com/main_page.txt
shconline.org,Sacred Heart Center,Religious Organizations,Eagle Butte,SD,,,True,./pages/shconline.org/about_page.txt,False,,True,./pages/shconline.org/contact_page.txt,True,./pages/shconline.org/main_page.txt
hardwick.com,None,,,,,,True,./pages/hardwick.com/about_page.txt,False,,True,./pages/hardwick.com/contact_page.txt,True,./pages/hardwick.com/main_page.txt
az.gov,State of Arizona,Government,Phoenix,AZ,,,False,,False,,False,,True,./pages/az.gov/main_page.txt
medical-coding.net,None,,,,,,True,./pages/medical-coding.net/about_page.txt,True,./pages/medical-coding.net/faq_page.txt,True,./pages/medical-coding.net/contact_page.txt,True,./pages/medical-coding.net/main_page.txt
faithtrustinstitute.org,None,,,,,,True,./pages/faithtrustinstitute.org/about_page.txt,True,./pages/faithtrustinstitute.org/faq_page.txt,True,./pages/faithtrustinstitute.org/contact_page.txt,True,./pages/faithtrustinstitute.org/main_page.txt
taosnet.com,None,,,,,,True,./pages/taosnet.com/about_page.txt,True,./pages/taosnet.com/faq_page.txt,True,./pages/taosnet.com/contact_page.txt,True,./pages/taosnet.com/main_page.txt
verendrye.com,Verendrye Electric Cooperative,Public Utilities and Energy,Velva,ND,,,True,./pages/verendrye.com/about_page.txt,False,,True,./pages/verendrye.com/contact_page.txt,True,./pages/verendrye.com/main_page.txt
pumptechnw.com,None,,,,,,True,./pages/pumptechnw.com/about_page.txt,False,,True,./pages/pumptechnw.com/contact_page.txt,True,./pages/pumptechnw.com/main_page.txt
bainagency.com,None,,,,,,True,./pages/bainagency.com/about_page.txt,True,./pages/bainagency.com/faq_page.txt,True,./pages/bainagency.com/contact_page.txt,True,./pages/bainagency.com/main_page.txt
sab-arizona.com,None,,,,,,False,,False,,False,,False,
faradaypharma.com,None,,,,,,True,./pages/faradaypharma.com/about_page.txt,False,,True,./pages/faradaypharma.com/contact_page.txt,True,./pages/faradaypharma.com/main_page.txt
spiritlakecasino.com,None,,,,,,True,./pages/spiritlakecasino.com/about_page.txt,False,,False,,True,./pages/spiritlakecasino.com/main_page.txt
icmsolutions.com,None,,,,,,True,./pages/icmsolutions.com/about_page.txt,False,,True,./pages/icmsolutions.com/contact_page.txt,True,./pages/icmsolutions.com/main_page.txt
lafco.org,Riverside Local Agency Formation Commission,Government,Riverside,CA,,,True,./pages/lafco.org/about_page.txt,True,./pages/lafco.org/faq_page.txt,False,,True,./pages/lafco.org/main_page.txt
riversideca.gov,City of Riverside,Government,Riverside,CA,,,True,./pages/riversideca.gov/about_page.txt,False,,True,./pages/riversideca.gov/contact_page.txt,True,./pages/riversideca.gov/main_page.txt
newmexicocreates.org,None,,,,,,True,./pages/newmexicocreates.org/about_page.txt,False,,False,,True,./pages/newmexicocreates.org/main_page.txt
azwebdesigns.com,None,,,,,,False,,True,./pages/azwebdesigns.com/faq_page.txt,True,./pages/azwebdesigns.com/contact_page.txt,True,./pages/azwebdesigns.com/main_page.txt
calbaptist.edu,California Baptist University,Government,Riverside,CA,,,True,./pages/calbaptist.edu/about_page.txt,False,,False,,True,./pages/calbaptist.edu/main_page.txt
jtscpa.com,None,,,,,,False,,False,,True,./pages/jtscpa.com/contact_page.txt,True,./pages/jtscpa.com/main_page.txt
dicksonlaw.com,None,,,,,,False,,False,,False,,False,
wa.gov,State of Washington,Government,Olympia,WA,,,False,,False,,True,./pages/wa.gov/contact_page.txt,True,./pages/wa.gov/main_page.txt
lotzar.com,None,,,,,,True,./pages/lotzar.com/about_page.txt,False,,True,./pages/lotzar.com/contact_page.txt,True,./pages/lotzar.com/main_page.txt
matinetworks.net,Mescalero Apache Telecom,Regional ISP,Mescalero,NM,,,True,./pages/matinetworks.net/about_page.txt,False,,True,./pages/matinetworks.net/contact_page.txt,True,./pages/matinetworks.net/main_page.txt
azactic.gov,Arizona Counter Terrorism Information Center,Government,Phoenix,AZ,,,False,,False,,False,,False,
herkandassociates.com,None,,,,,,True,./pages/herkandassociates.com/about_page.txt,True,./pages/herkandassociates.com/faq_page.txt,True,./pages/herkandassociates.com/contact_page.txt,True,./pages/herkandassociates.com/main_page.txt
isabrokers.com,None,,,,,,True,./pages/isabrokers.com/about_page.txt,False,,False,,True,./pages/isabrokers.com/main_page.txt
skha.org,Salish and Kootenai Housing Authority,Government,Pablo,MT,Yes,,True,./pages/skha.org/about_page.txt,False,,True,./pages/skha.org/contact_page.txt,True,./pages/skha.org/main_page.txt
rosieonthehouse.com,None,,,,,,True,./pages/rosieonthehouse.com/about_page.txt,False,,True,./pages/rosieonthehouse.com/contact_page.txt,True,./pages/rosieonthehouse.com/main_page.txt
identikit.net,None,,,,,,False,,True,./pages/identikit.net/faq_page.txt,True,./pages/identikit.net/contact_page.txt,True,./pages/identikit.net/main_page.txt
mvc.edu,Moreno Valley College,Higher Education,Moreno Valley,CA,Yes,,True,./pages/mvc.edu/about_page.txt,False,,True,./pages/mvc.edu/contact_page.txt,True,./pages/mvc.edu/main_page.txt
digii.net,None,,,,,,False,,False,,True,./pages/digii.net/contact_page.txt,True,./pages/digii.net/main_page.txt
siycom.com,Siyeh Communications,Regional ISP,Browning,MT,,,True,./pages/siycom.com/about_page.txt,False,,True,./pages/siycom.com/contact_page.txt,True,./pages/siycom.com/main_page.txt
mbainsurance.net,None,,,,,,True,./pages/mbainsurance.net/about_page.txt,False,,True,./pages/mbainsurance.net/contact_page.txt,True,./pages/mbainsurance.net/main_page.txt
lawrencevethospital.com,Lawrence Veterinary Hospital,Veterinarians,Lawrence,KS,,,True,./pages/lawrencevethospital.com/about_page.txt,False,,True,./pages/lawrencevethospital.com/contact_page.txt,True,./pages/lawrencevethospital.com/main_page.txt
providienmedical.com,None,,,,,,True,./pages/providienmedical.com/about_page.txt,False,,True,./pages/providienmedical.com/contact_page.txt,True,./pages/providienmedical.com/main_page.txt
northshoresports.ca,None,,,,,,True,./pages/northshoresports.ca/about_page.txt,False,,True,./pages/northshoresports.ca/contact_page.txt,True,./pages/northshoresports.ca/main_page.txt
dasselaw.com,None,,,,,,False,,False,,False,,True,./pages/dasselaw.com/main_page.txt
btigate.com,None,,,,,,False,,False,,False,,True,./pages/btigate.com/main_page.txt
northwestcontracting.com,None,,,,,,True,./pages/northwestcontracting.com/about_page.txt,False,,True,./pages/northwestcontracting.com/contact_page.txt,True,./pages/northwestcontracting.com/main_page.txt
attitudetoyhaulers.com,None,,,,,,True,./pages/attitudetoyhaulers.com/about_page.txt,False,,True,./pages/attitudetoyhaulers.com/contact_page.txt,True,./pages/attitudetoyhaulers.com/main_page.txt
ndba.com,North Dakota Bankers Association,Sectoral Association,Bismarck,ND,,,True,./pages/ndba.com/about_page.txt,False,,False,,True,./pages/ndba.com/main_page.txt
bdec.coop,Burke-Divide Electric Cooperative,Public Utilities and Energy,Columbus,ND,,,True,./pages/bdec.coop/about_page.txt,False,,True,./pages/bdec.coop/contact_page.txt,True,./pages/bdec.coop/main_page.txt
pacificcoastmanagement.com,None,,,,,,True,./pages/pacificcoastmanagement.com/about_page.txt,False,,True,./pages/pacificcoastmanagement.com/contact_page.txt,True,./pages/pacificcoastmanagement.com/main_page.txt
vetpressonline.com,None,,,,,,False,,False,,False,,False,
gracechurchabq.org,Grace Church,Religious Organizations,Albuquerque,NM,,,True,./pages/gracechurchabq.org/about_page.txt,False,,False,,True,./pages/gracechurchabq.org/main_page.txt
soomill.com,None,,,,,,True,./pages/soomill.com/about_page.txt,False,,True,./pages/soomill.com/contact_page.txt,True,./pages/soomill.com/main_page.txt
cnanational.com,None,,,,,,True,./pages/cnanational.com/about_page.txt,True,./pages/cnanational.com/faq_page.txt,True,./pages/cnanational.com/contact_page.txt,True,./pages/cnanational.com/main_page.txt
azlawguy.com,None,,,,,,False,,False,,False,,True,./pages/azlawguy.com/main_page.txt
autobodyworld.com,None,,,,,,False,,False,,False,,True,./pages/autobodyworld.com/main_page.txt
wonderfulmercy.org,Wonderful Mercy Church & Prayer Garden,Religious Organizations,Gilbert,AZ,,,True,./pages/wonderfulmercy.org/about_page.txt,False,,True,./pages/wonderfulmercy.org/contact_page.txt,True,./pages/wonderfulmercy.org/main_page.txt
ssmrca.ca,None,,,,,,True,./pages/ssmrca.ca/about_page.txt,False,,True,./pages/ssmrca.ca/contact_page.txt,True,./pages/ssmrca.ca/main_page.txt
asmartloan.com,None,,,,,,True,./pages/asmartloan.com/about_page.txt,False,,True,./pages/asmartloan.com/contact_page.txt,True,./pages/asmartloan.com/main_page.txt
arvig.net,None,,,,,,True,./pages/arvig.net/about_page.txt,True,./pages/arvig.net/faq_page.txt,False,,True,./pages/arvig.net/main_page.txt
gondtc.com,North Dakota Telephone Company,Regional ISP,Devils Lake,ND,Yes,,True,./pages/gondtc.com/about_page.txt,True,./pages/gondtc.com/faq_page.txt,True,./pages/gondtc.com/contact_page.txt,True,./pages/gondtc.com/main_page.txt
brownrice.com,None,,,,,,True,./pages/brownrice.com/about_page.txt,True,./pages/brownrice.com/faq_page.txt,True,./pages/brownrice.com/contact_page.txt,True,./pages/brownrice.com/main_page.txt
kadtec.com,None,,,,,,False,,False,,False,,False,
centurybaptist.org,Century Baptist Church,Religious Organizations,Bismarck,ND,,,True,./pages/centurybaptist.org/about_page.txt,False,,True,./pages/centurybaptist.org/contact_page.txt,True,./pages/centurybaptist.org/main_page.txt
kinneyconstruction.net,None,,,,,,True,./pages/kinneyconstruction.net/about_page.txt,False,,True,./pages/kinneyconstruction.net/contact_page.txt,True,./pages/kinneyconstruction.net/main_page.txt
townofhotsprings.com,None,,,,,,False,,False,,False,,True,./pages/townofhotsprings.com/main_page.txt
hearingfirst.net,None,,,,,,False,,False,,False,,False,
sunbeltholdings.com,None,,,,,,True,./pages/sunbeltholdings.com/about_page.txt,False,,True,./pages/sunbeltholdings.com/contact_page.txt,True,./pages/sunbeltholdings.com/main_page.txt
